Fullname,DateofbirthAge,Placeofbirth,Height,Citizenship,Position,Foot,Playeragent,Currentclub,Joined,Contractexpires,Lastcontractextension,Outfitter,SocialMedia,tm_url,Nameinhomecountry,2ndclub,Onloanfrom,Contractthereexpires,source_url,Contractoption,3ndclub
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/alex-moreno/profil/spieler/193098,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/harry-toffolo/profil/spieler/198516,NA,NA
NA,08.10.1996 (28),London,"1,84 m",Nigeria England,Defender - Right-Back,right,Elite Project Group ...,Nottingham Forest,22.07.2023,30.06.2028,07.07.2025,adidas,,https://www.transfermarkt.com/ola-aina/profil/spieler/236490,Temitayo Olufisayo Olaoluwa Aina,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/neco-williams/profil/spieler/503680,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/eric-da-silva-moreira/profil/spieler/897481,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/danilo/profil/spieler/808509,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/ibrahim-sangare/profil/spieler/375885,NA,NA
NA,01.12.2004 (20),Derby,"1,83 m",England,Midfield - Defensive Midfield,right,CSG,Colchester United,09.07.2025,30.06.2028,NA,NA,NA,https://www.transfermarkt.com/ben-perry/profil/spieler/925105,Benjamin Marshall Perry,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/elliot-anderson/profil/spieler/567576,NA,NA
NA,28.06.1998 (27),Haedo,"1,79 m",Argentina Italy,Midfield - Central Midfield,right,Interplayers,Nottingham Forest,01.09.2023,30.06.2028,NA,Nike,,https://www.transfermarkt.com/nicolas-dominguez/profil/spieler/497291,Nicolás Martín Domínguez,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/ryan-yates/profil/spieler/425902,NA,NA
NA,01.11.1994 (30),Portsmouth,"1,77 m",England,Midfield - Central Midfield,right,CAA Stellar,West Ham United,14.08.2023,30.06.2027,NA,NA,,https://www.transfermarkt.com/james-ward-prowse/profil/spieler/181579,James Michael Edward Ward-Prowse,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/lewis-obrien/profil/spieler/560694,NA,NA
NA,27.01.2000 (25),Stafford,"1,71 m",England Jamaica,Midfield - Attacking Midfield,right,CAA Stellar,Nottingham Forest,19.08.2022,30.06.2028,26.07.2025,NA,,https://www.transfermarkt.com/morgan-gibbs-white/profil/spieler/429014,Morgan Anthony Gibbs-White,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/callum-hudson-odoi/profil/spieler/392768,NA,NA
NA,31.08.1999 (25),Maracaná,"1,79 m",Paraguay Argentina,Attack - Left Winger,right,Osvaldo Daniel Campo,Sociedade Esportiva Palmeiras,09.07.2025,30.06.2030,NA,NA,,https://www.transfermarkt.com/ramon-sosa/profil/spieler/745191,Ramón Sosa Acosta,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/anthony-elanga/profil/spieler/583189,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/jota-silva/profil/spieler/663244,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/josh-bowler/profil/spieler/506470,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/taiwo-awoniyi/profil/spieler/295313,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/chris-wood/profil/spieler/108725,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/emmanuel-dennis/profil/spieler/448854,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/aaron-ramsdale/profil/spieler/427568,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/gavin-bazunu/profil/spieler/585550,NA,NA
NA,15.02.1995 (30),Harlow,"1,90 m",England,Goalkeeper,right,Unique Sports Group,Bristol City,01.07.2025,30.06.2027,NA,NA,,https://www.transfermarkt.com/joe-lumley/profil/spieler/336367,Joseph Patrick Lumley,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/alex-mccarthy/profil/spieler/95976,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/taylor-harwood-bellis/profil/spieler/503977,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/jan-bednarek/profil/spieler/243028,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/armel-bella-kotchap/profil/spieler/467563,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/ronnie-edwards/profil/spieler/732165,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/nathan-wood/profil/spieler/503990,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/jack-stephens/profil/spieler/163744,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/joachim-kayi-sanda/profil/spieler/986298,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/jayden-moore/profil/spieler/1122027,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/juan-larios/profil/spieler/646738,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/ryan-manning/profil/spieler/262300,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/welington/profil/spieler/729264,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/charlie-taylor/profil/spieler/195633,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/kyle-walker-peters/profil/spieler/341051,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/yukinari-sugawara/profil/spieler/405385,NA,NA
NA,11.12.1997 (27),Wakefield,"1,78 m",England,Defender - Right-Back,right,Wasserman,Southampton FC,26.01.2023,30.06.2026,NA,NA,NA,https://www.transfermarkt.com/james-bree/profil/spieler/324223,James Patrick Bree,NA,NA,NA,NA,NA,NA
NA,26.03.2004 (21),Rennes,"1,90 m",France Nigeria,Midfield - Defensive Midfield,right,Wasserman,Burnley FC,06.08.2025,30.06.2030,NA,Nike,,https://www.transfermarkt.com/lesley-ugochukwu/profil/spieler/711999,Lesley Chimuanya Ugochukwu,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/flynn-downes/profil/spieler/506189,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/shea-charles/profil/spieler/747951,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/mateus-fernandes/profil/spieler/880245,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/carlos-alcaraz/profil/spieler/748319,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/joe-aribo/profil/spieler/468198,NA,NA
NA,21.02.2000 (25),Basingstoke,"1,83 m",Ireland England,Midfield - Central Midfield,right,CAA Base Ltd,Southampton FC,01.01.2020,30.06.2026,28.08.2023,NA,,https://www.transfermarkt.com/will-smallbone/profil/spieler/444211,William Anthony Patrick Smallbone,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/joe-obrien-whitmarsh/profil/spieler/741228,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/albert-gronbaek/profil/spieler/503866,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/adam-lallana/profil/spieler/43530,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/romeo-akachukwu/profil/spieler/990836,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/kamaldeen-sulemana/profil/spieler/746695,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/maxwel-cornet/profil/spieler/234781,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/samuel-edozie/profil/spieler/680806,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/ryan-fraser/profil/spieler/146795,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/jay-robinson/profil/spieler/1045124,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/tyler-dibling/profil/spieler/866655,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/samuel-amo-ameyaw/profil/spieler/933900,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/adam-armstrong/profil/spieler/250426,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/cameron-archer/profil/spieler/533662,NA,NA
NA,18.04.1999 (26),Stoke-on-Trent,"1,85 m",Chile England,Attack - Centre-Forward,right,Wasserman,Southampton FC,30.07.2024,30.06.2028,NA,NA,,https://www.transfermarkt.com/ben-brereton-diaz/profil/spieler/426192,Benjamin Anthony Brereton Díaz,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/paul-onuachu/profil/spieler/272855,NA,NA
NA,11.07.1996 (29),Irvine,"1,88 m",Scotland,Attack - Centre-Forward,right,NA,Southampton FC,01.09.2023,30.06.2026,NA,NA,,https://www.transfermarkt.com/ross-stewart/profil/spieler/447995,Ross Cameron Stewart,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/geronimo-rulli/profil/spieler/229604,NA,NA
NA,01.04.1998 (27),Amstelveen,"1,90 m",Netherlands,Goalkeeper,right,GFM,Olympique Marseille,08.08.2024,30.06.2027,NA,adidas,,https://www.transfermarkt.com/jeffrey-de-lange/profil/spieler/315253,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/ruben-blanco/profil/spieler/199321,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/jelle-van-neck/profil/spieler/727086,NA,NA
NA,26.01.1999 (26),Villa Mercedes,"1,87 m",Argentina Italy,Defender - Centre-Back,right,SP,Olympique Marseille,03.07.2021,30.06.2028,16.08.2024,NA,,https://www.transfermarkt.com/leonardo-balerdi/profil/spieler/575998,Leonardo Julián Balerdi Rosa,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/lilian-brassier/profil/spieler/485960,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/luiz-felipe/profil/spieler/457931,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/derek-cornelius/profil/spieler/328609,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/bamo-meite/profil/spieler/807165,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/chancel-mbemba/profil/spieler/203348,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/roggerio-nyakossi/profil/spieler/805484,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/rony-mimb-baheng/profil/spieler/1203035,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/quentin-merlin/profil/spieler/557613,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/ulisses-garcia/profil/spieler/192616,NA,NA
NA,05.02.2006 (19),Villeneuve-Saint-Georges,"1,80 m",France Cameroon,Defender - Left-Back,left,Wasserman,Valenciennes FC,02.07.2025,30.06.2026,NA,NA,NA,https://www.transfermarkt.com/alexi-koum/profil/spieler/955449,Emmanuel Alexi Koum Mbondo,NA,Olympique de Marseille B,30.06.2027,NA,NA,NA
NA,18.08.2002 (23),Zell am See,"1,80 m",Bosnia-Herzegovina,Defender - Right-Back,right,LIAN Sports Group,SL Benfica,14.07.2025,30.06.2030,NA,NA,NA,https://www.transfermarkt.com/amar-dedic/profil/spieler/519184,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/amir-murillo/profil/spieler/354482,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/pol-lirola/profil/spieler/298975,NA,NA
NA,05.08.1995 (30),København,"1,85 m",Denmark France,Midfield - Defensive Midfield,right,LP Sport Management,Olympique Marseille,01.07.2025,30.06.2028,NA,adidas,,https://www.transfermarkt.com/pierre-emile-hojbjerg/profil/spieler/167799,Pierre-Emile Kordt Højbjerg,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/ismael-bennacer/profil/spieler/351816,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/geoffrey-kondogbia/profil/spieler/127189,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/adrien-rabiot/profil/spieler/182913,NA,NA
NA,16.06.2002 (23),Abidjan,"1,88 m",Canada Cote d'Ivoire,Midfield - Central Midfield,right,Axia Sports ...,US Sassuolo,29.07.2025,30.06.2026,NA,NA,,https://www.transfermarkt.com/ismael-kone/profil/spieler/921655,Ismaël Kenneth Jordan Koné,NA,Olympique Marseille,30.06.2029,NA,Obligation to buy with conditions,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/valentin-rongier/profil/spieler/332889,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/bilal-nadir/profil/spieler/659520,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/gael-lafont/profil/spieler/955358,NA,NA
Luis Henrique Tomaz de Lima,14.12.2001 (23),João Pessoa,"1,81 m",Brazil,Midfield - Right Midfield,right,Roc Nation Sports,Inter Milan,07.06.2025,30.06.2030,NA,adidas,,https://www.transfermarkt.com/luis-henrique/profil/spieler/691316,NA,NA,NA,NA,NA,NA,NA
NA,05.03.2005 (20),Buenos Aires,"1,85 m",Argentina Italy,Midfield - Attacking Midfield,left,GR Sports,Genoa CFC,18.07.2025,30.06.2026,NA,NA,,https://www.transfermarkt.com/valentin-carboni/profil/spieler/787618,NA,NA,Inter Milan,30.06.2029,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/amine-harit/profil/spieler/372711,NA,NA
NA,28.05.2007 (18),Nancy,"1,74 m",France Algeria,Midfield - Attacking Midfield,right,Classico,RSCA Futures,17.01.2025,30.06.2029,08.07.2025,adidas,,https://www.transfermarkt.com/enzo-sternal/profil/spieler/1075589,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/darryl-bakola/profil/spieler/1170286,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/jonathan-rowe/profil/spieler/672381,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/salim-ben-seghir/profil/spieler/708681,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/mason-greenwood/profil/spieler/532826,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/keyliane-abdallah/profil/spieler/1183719,NA,NA
NA,16.02.2000 (25),Bourgoin-Jallieu,"1,81 m",Algeria France,Attack - Centre-Forward,right,HCM Sports ...,Olympique Marseille,31.01.2025,30.06.2029,NA,NA,,https://www.transfermarkt.com/amine-gouiri/profil/spieler/418659,Amine Ferid Gouiri,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/elye-wahi/profil/spieler/659542,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/neal-maupay/profil/spieler/217115,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/faris-moumbagna/profil/spieler/599663,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/robinio-vaz/profil/spieler/1131161,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/lucas-chevalier/profil/spieler/463600,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/lisandru-olmeta/profil/spieler/810789,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/vito-mannone/profil/spieler/33781,NA,NA
NA,12.05.1994 (31),Melun,"1,92 m",France,Goalkeeper,right,NA,LOSC Lille,30.08.2024,30.06.2026,22.05.2025,NA,NA,https://www.transfermarkt.com/marc-aurele-caillard/profil/spieler/205465,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/bafode-diakite/profil/spieler/463605,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/alexsandro/profil/spieler/648020,NA,NA
NA,14.11.1993 (31),Yaoundé,"1,82 m",France Cameroon,Defender - Centre-Back,left,AC Talent,Without Club,01.07.2025,-,NA,Puma,,https://www.transfermarkt.com/samuel-umtiti/profil/spieler/126540,Samuel Yves Umtiti,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/aissa-mandi/profil/spieler/80293,NA,NA
NA,28.06.2002 (23),Setúbal,"1,91 m",Portugal,Defender - Centre-Back,right,Proeleven S.A.,LOSC Lille,31.01.2024,30.06.2028,NA,NA,,https://www.transfermarkt.com/rafael-fernandes/profil/spieler/744074,Rafael Tavares Gomes Fernandes,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/ousmane-toure/profil/spieler/990732,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/isaac-cossier/profil/spieler/1160753,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/gabriel-gudmundsson/profil/spieler/362108,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/mitchel-bakker/profil/spieler/361065,NA,NA
Ismaily Gonçalves dos Santos,11.01.1990 (35),Ivinhema,"1,77 m",Brazil,Defender - Left-Back,left,NA,Without Club,01.07.2025,-,NA,Puma,,https://www.transfermarkt.com/ismaily/profil/spieler/124028,NA,NA,NA,NA,NA,NA,NA
NA,23.09.2005 (19),Liège,"1,80 m",Belgium,Defender - Left-Back,left,DWMA,LOSC Lille,01.07.2024,30.06.2027,NA,NA,NA,https://www.transfermarkt.com/vincent-burlet/profil/spieler/920939,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/tiago-santos/profil/spieler/816580,NA,NA
NA,12.09.1991 (33),Bastogne,"1,91 m",Belgium,Defender - Right-Back,right,Unique Sports Group,LOSC Lille,19.07.2024,30.06.2026,NA,adidas,,https://www.transfermarkt.com/thomas-meunier/profil/spieler/100986,Thomas Andre A. Meunier,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/akim-zedadka/profil/spieler/327863,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/morgan-costarelli/profil/spieler/1119911,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/ngalayel-mukau/profil/spieler/1016015,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/nabil-bentaleb/profil/spieler/245537,NA,NA
NA,03.08.1990 (35),Nice,"1,80 m",France,Midfield - Defensive Midfield,right,NA,LOSC Lille,17.07.2019,30.06.2028,26.07.2025,NA,NA,https://www.transfermarkt.com/benjamin-andre/profil/spieler/84301,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/ugo-raghouber/profil/spieler/707230,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/lilian-baret/profil/spieler/1083054,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/ayyoub-bouaddi/profil/spieler/1097139,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/andre-gomes/profil/spieler/221025,NA,NA
