Fullname,DateofbirthAge,Placeofbirth,Height,Citizenship,Position,Foot,Playeragent,Currentclub,Joined,Contractexpires,Lastcontractextension,Outfitter,SocialMedia,tm_url,Nameinhomecountry,2ndclub,Onloanfrom,Contractthereexpires,source_url,Contractoption,3ndclub
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/yeray-alvarez/profil/spieler/255488,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/unai-nunez/profil/spieler/338285,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/unai-egiluz/profil/spieler/834485,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/aimar-dunabeitia/profil/spieler/834488,NA,NA
NA,28.06.2003 (22),Amorebieta-Etxano,NA,Spain,Defender - Centre-Back,right,Emartsoccer,Bilbao Athletic,01.07.2024,30.06.2026,NA,NA,NA,https://www.transfermarkt.com/ander-izagirre/profil/spieler/1189292,Ander Izagirre Cestona,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/adama-boiro/profil/spieler/710671,NA,NA
NA,10.02.1990 (35),Zarautz,"1,81 m",Spain Algeria,Defender - Left-Back,left,Media Base Sports,Athletic Bilbao,02.07.2018,30.06.2026,21.05.2025,NA,,https://www.transfermarkt.com/yuri-berchiche/profil/spieler/61812,Yuri Berchiche Izeta,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/andoni-gorosabel/profil/spieler/289255,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/inigo-lekue/profil/spieler/255501,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/oscar-de-marcos/profil/spieler/96718,NA,NA
NA,08.04.1993 (32),Vitoria-Gasteiz,"1,91 m",Spain,Midfield - Defensive Midfield,left,Football Promotions ...,Athletic Bilbao,01.07.2016,30.06.2027,21.12.2023,NA,,https://www.transfermarkt.com/mikel-vesga/profil/spieler/300168,Mikel Vesga Arruti,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/mikel-jauregizar/profil/spieler/938729,NA,NA
NA,08.02.2001 (24),Pamplona,"1,80 m",Spain,Midfield - Central Midfield,right,CAA Stellar,Athletic Bilbao,01.07.2022,30.06.2031,27.06.2024,NA,NA,https://www.transfermarkt.com/benat-prados/profil/spieler/625047,Beñat Prados Díaz,NA,NA,NA,NA,NA,NA
NA,06.08.1993 (32),Donostia-San Sebastián,"1,75 m",Spain,Midfield - Central Midfield,right,Global Ases,Athletic Bilbao,01.07.2023,30.06.2027,24.05.2025,NA,NA,https://www.transfermarkt.com/inigo-ruiz-de-galarreta/profil/spieler/126751,Iñigo Ruiz de Galarreta Etxeberria,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/ander-herrera/profil/spieler/99343,NA,NA
NA,11.06.2003 (22),Bilbao,"1,92 m",Spain,Midfield - Central Midfield,right,YOU FIRST,Bilbao Athletic,01.07.2022,30.06.2026,NA,NA,NA,https://www.transfermarkt.com/alejandro-rego/profil/spieler/834491,Alejandro Rego Mora,NA,NA,NA,NA,club option 2 years,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/oihan-sancet/profil/spieler/571020,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/unai-gomez/profil/spieler/834752,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/peio-canales/profil/spieler/1056966,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/nico-williams/profil/spieler/709187,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/alex-berenguer/profil/spieler/338425,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/alvaro-djalo/profil/spieler/671649,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/nico-serrano/profil/spieler/668183,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/iker-varela/profil/spieler/834492,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/inaki-williams/profil/spieler/255508,NA,NA
NA,12.10.2001 (23),Bilbao,"1,83 m",Spain Guinea-Bissau,Attack - Right Winger,right,NA,SD Eibar,17.08.2025,30.06.2030,NA,NA,,https://www.transfermarkt.com/adu-ares/profil/spieler/895480,Malcom Abdulai Ares Djaló,NA,NA,NA,NA,NA,NA
NA,14.11.2005 (19),Luiaondo,"1,82 m",Spain,Attack - Right Winger,left,AC Talent,FC Andorra,09.08.2025,30.06.2026,NA,NA,NA,https://www.transfermarkt.com/aingeru-olabarrieta/profil/spieler/1056971,Aingeru Olabarrieta Capelo,NA,Bilbao Athletic,30.06.2029,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/endika-bujan/profil/spieler/1120228,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/maroan-sannadi/profil/spieler/1054934,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/gorka-guruzeta/profil/spieler/340205,NA,NA
NA,06.05.1999 (26),Villafranca,"1,81 m",Spain,Attack - Centre-Forward,right,NA,SD Eibar,16.07.2025,30.06.2028,NA,NA,NA,https://www.transfermarkt.com/javi-marton/profil/spieler/711394,Javier Martón Ansó,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/rui-silva/profil/spieler/234811,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/fran-vieites/profil/spieler/551182,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/adrian/profil/spieler/71271,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/guilherme-fernandes/profil/spieler/567504,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/german-garcia/profil/spieler/1061277,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/manu-gonzalez/profil/spieler/1225038,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.transfermarkt.com/natan/profil/spieler/735568,NA,NA
